,Department_Name,State,County,City,Ori,Agg_Assult,Sex_Offences,Manslaughter_Neg,Murder_and_Nonneg_Man,Rape,Robbery,Simp_Assult,Humman_Trafficking_Commercial_SA,Humman_Trafficking_Invol_Ser,Offences_Total
211,Inglewood Police Department,CA,LOS ANGELES,Inglewood,CA0193300,160,19,0,7,8,70,177,0,0,441
212,Irwindale Police Department,CA,LOS ANGELES,Irwindale,CA0193400,6,0,0,0,0,2,6,0,0,14
213,Lakewood Police Department,CA,LOS ANGELES,Lakewood,CA0193500,117,16,0,0,4,32,86,0,0,255
214,La Mirada Police Department,CA,LOS ANGELES,La Mirada,CA0193600,56,8,1,0,1,14,30,0,0,110
215,La Puente Police Department,CA,LOS ANGELES,La Puente,CA0193700,84,9,0,0,1,18,25,0,0,137
216,La Verne Police Department,CA,LOS ANGELES,La Verne,CA0193800,17,0,0,0,1,11,34,0,0,63
217,Lawndale Police Department,CA,LOS ANGELES,Lawndale,CA0193900,69,2,0,0,3,11,42,0,0,127
218,Lomita Police Department,CA,LOS ANGELES,Lomita,CA0194000,27,0,0,0,0,14,22,0,0,63
219,Long Beach Police Department,CA,LOS ANGELES,Long Beach,CA0194100,1366,107,7,16,21,255,1349,0,0,3121
220,Los Angeles Police Department,CA,LOS ANGELES,Los Angeles,CA0194200,8829,662,6,121,231,2143,4692,0,0,16684
221,Lynwood Police Department,CA,LOS ANGELES,Lynwood,CA0194300,209,16,0,3,5,47,68,0,0,348
222,Manhattan Beach Police Department,CA,LOS ANGELES,Manhattan Beach,CA0194400,40,3,0,0,3,23,42,0,0,111
223,Maywood Police Department,CA,LOS ANGELES,Maywood,CA0194500,39,3,0,1,2,9,17,0,0,71
224,Monrovia Police Department,CA,LOS ANGELES,Monrovia,CA0194600,50,1,0,1,0,7,60,0,0,119
225,Montebello Police Department,CA,LOS ANGELES,Montebello,CA0194700,123,8,0,2,2,32,104,0,0,271
226,Monterey Park Police Department,CA,LOS ANGELES,Monterey Park,CA0194800,89,10,0,4,1,9,53,0,0,166
227,Norwalk Police Department,CA,LOS ANGELES,Norwalk,CA0194900,235,166,0,1,9,43,96,0,0,550
228,Palmdale Police Department,CA,LOS ANGELES,Palmdale,CA0195000,452,8,1,4,2,91,321,0,0,879
229,Palos Verdes Estates Police Department,CA,LOS ANGELES,Palos Verdes Estates,CA0195100,5,0,0,0,0,1,7,0,0,13
230,Paramount Police Department,CA,LOS ANGELES,Paramount,CA0195200,136,15,1,2,4,41,68,0,0,267
231,Pasadena Police Department,CA,LOS ANGELES,Pasadena,CA0195300,371,28,1,6,5,55,248,0,0,714
232,Pico Rivera Police Department,CA,LOS ANGELES,Pico Rivera,CA0195400,114,20,0,2,4,18,72,0,0,230
233,Pomona Police Department,CA,LOS ANGELES,Pomona,CA0195500,373,43,1,7,10,84,290,0,0,808
234,Redondo Beach Police Department,CA,LOS ANGELES,Redondo Beach,CA0195600,80,16,0,0,2,26,131,0,0,255
235,Rolling Hills Police Department,CA,LOS ANGELES,Rolling Hills,CA0195700,3,0,0,0,0,0,0,0,0,3
236,Rolling Hills Estates Police Department,CA,LOS ANGELES,Rolling Hills Estates,CA0195800,7,0,0,0,0,3,5,0,0,15
237,Rosemead Police Department,CA,LOS ANGELES,Rosemead,CA0195900,71,12,0,1,2,21,61,0,0,168
238,San Dimas Police Department,CA,LOS ANGELES,San Dimas,CA0196000,33,5,0,0,0,9,34,0,0,81
239,San Fernando Police Department,CA,LOS ANGELES,San Fernando,CA0196100,36,2,0,2,1,7,66,0,0,114
240,San Gabriel Police Department,CA,LOS ANGELES,San Gabriel,CA0196200,57,5,0,1,3,11,58,0,0,135
241,San Marino Police Department,CA,LOS ANGELES,San Marino,CA0196300,6,1,0,0,0,0,12,0,0,19
242,Santa Fe Springs Police Department,CA,LOS ANGELES,Santa Fe Springs,CA0196400,52,3,0,3,3,12,37,0,0,110
243,Santa Monica Police Department,CA,LOS ANGELES,Santa Monica,CA0196500,252,51,0,8,7,111,401,0,0,830
244,Sierra Madre Police Department,CA,LOS ANGELES,Sierra Madre,CA0196600,7,0,0,0,0,0,7,0,0,14
245,Signal Hill Police Department,CA,LOS ANGELES,Signal Hill,CA0196700,41,0,0,0,0,7,37,0,0,85
246,South El Monte Police Department,CA,LOS ANGELES,South El Monte,CA0196800,57,6,0,0,1,10,34,0,0,108
247,South Gate Police Department,CA,LOS ANGELES,South Gate,CA0196900,228,35,0,6,6,69,168,0,0,512
248,South Pasadena Police Department,CA,LOS ANGELES,South Pasadena,CA0197000,23,6,0,0,0,5,38,0,0,72
249,Temple City Police Department,CA,LOS ANGELES,Temple City,CA0197100,44,8,0,1,2,7,42,0,0,104
250,Torrance Police Department,CA,LOS ANGELES,Torrance,CA0197200,152,20,2,0,4,85,132,0,0,395
251,Vernon Police Department,CA,LOS ANGELES,Vernon,CA0197300,17,1,1,0,1,2,10,0,0,32
252,Walnut Police Department,CA,LOS ANGELES,Walnut,CA0197400,23,1,0,0,0,7,9,0,0,40
253,West Covina Police Department,CA,LOS ANGELES,West Covina,CA0197500,169,20,0,2,3,54,76,0,0,324
254,Whittier Police Department,CA,LOS ANGELES,Whittier,CA0197600,150,12,0,2,2,24,96,0,0,286
255,Carson Police Department,CA,LOS ANGELES,Carson,CA0197700,196,19,3,3,3,38,73,0,0,335
257,Rancho Palos Verdes Police Department,CA,LOS ANGELES,Rancho Palos Verdes,CA0198000,16,1,0,0,0,0,8,0,0,25
262,La Canada Flintridge Police Department,CA,LOS ANGELES,La Canada Flintridge,CA019900X,7,2,0,0,0,0,13,0,0,22
