,Department_Name,State,County,Ori,Agg_Assult,Sex_Offences,Manslaughter_Neg,Murder_and_Nonneg_Man,Rape,Robbery,Simp_Assult,Humman_Trafficking_Commercial_SA,Humman_Trafficking_Invol_Ser,Offences_Total
0,Alameda County Sheriff's Office,CA,ALAMEDA,CA0010000,353,20,1,4,7,71,384,0,0,840
1,Alameda Police Department,CA,ALAMEDA,CA0010100,90,12,0,0,1,18,197,0,0,318
2,Albany Police Department,CA,ALAMEDA,CA0010200,18,3,0,0,3,4,26,0,0,54
3,Berkeley Police Department,CA,ALAMEDA,CA0010300,194,28,0,2,6,99,211,0,0,540
4,Emeryville Police Department,CA,ALAMEDA,CA0010400,38,3,0,0,4,22,75,0,0,142
5,Fremont Police Department,CA,ALAMEDA,CA0010500,160,27,0,4,6,87,179,0,0,463
6,Hayward Police Department,CA,ALAMEDA,CA0010600,247,36,0,0,3,31,307,0,0,624
7,Livermore Police Department,CA,ALAMEDA,CA0010700,147,14,0,1,1,10,208,0,0,381
8,Newark Police Department,CA,ALAMEDA,CA0010800,44,3,0,1,1,11,81,0,0,141
9,Oakland Police Department,CA,ALAMEDA,CA0010900,934,68,1,37,28,347,1871,0,0,3286
10,Piedmont Police Department,CA,ALAMEDA,CA0011000,0,0,0,0,0,2,6,0,0,8
11,Pleasanton Police Department,CA,ALAMEDA,CA0011100,46,9,0,0,0,20,86,0,0,161
12,San Leandro Police Department,CA,ALAMEDA,CA0011200,161,19,0,1,2,87,163,0,0,433
13,Union City Police Department,CA,ALAMEDA,CA0011300,122,8,0,0,1,39,93,0,0,263
14,East Bay Regional Parks: Alameda County,CA,ALAMEDA,CA0011400,16,5,0,0,0,2,17,0,0,40
15,California State University: East Bay,CA,ALAMEDA,CA0011500,2,0,0,0,0,0,0,0,0,2
16,Union Pacific Railroad: Alameda County,CA,ALAMEDA,CA0011600,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17,San Francisco Bay Area Rapid Transit: Alameda County,CA,ALAMEDA,CA0012100,46,19,0,2,1,55,214,0,0,337
18,Dublin Police Department,CA,ALAMEDA,CA001300X,79,7,0,1,0,19,79,0,0,185
19,University of California: Berkeley,CA,ALAMEDA,CA0019700,9,4,0,0,0,7,47,0,0,67
20,Highway Patrol: Alameda County,CA,ALAMEDA,CA0019900,30,3,2,0,0,2,60,0,0,97
21,Alpine County Sheriff's Office,CA,ALPINE,CA0020000,7,1,0,0,2,0,10,0,0,20
22,Highway Patrol: Alpine County,CA,ALPINE,CA0029900,2,0,0,0,0,0,0,0,0,2
23,Amador County Sheriff's Office,CA,AMADOR,CA0030000,54,0,1,1,0,5,29,0,0,90
24,Ione Police Department,CA,AMADOR,CA0030200,8,1,0,0,1,0,11,0,0,21
25,Jackson Police Department,CA,AMADOR,CA0030300,19,0,0,0,0,0,6,0,0,25
26,Sutter Creek Police Department,CA,AMADOR,CA0030500,4,0,0,0,0,0,4,0,0,8
27,Union Pacific Railroad: Amador County,CA,AMADOR,CA0030600,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
28,Highway Patrol: Amador County,CA,AMADOR,CA0039900,1,0,1,0,0,0,2,0,0,4
29,Butte County Sheriff's Office,CA,BUTTE,CA0040000,265,32,0,2,3,12,186,0,0,500
30,Biggs Police Department,CA,BUTTE,CA0040100,1,0,0,0,0,0,5,0,0,6
31,Chico Police Department,CA,BUTTE,CA0040200,234,28,1,0,9,31,432,0,0,735
32,Gridley Police Department,CA,BUTTE,CA0040300,11,2,0,0,0,3,32,0,0,48
33,Oroville Police Department,CA,BUTTE,CA0040400,71,16,0,2,2,12,120,0,0,223
34,Paradise Police Department,CA,BUTTE,CA0040500,13,2,0,0,0,1,14,0,0,30
35,Union Pacific Railroad: Butte County,CA,BUTTE,CA0040600,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36,Department of Parks and Recreation: Northern Buttes,CA,BUTTE,CA0040700,4,0,0,0,0,0,3,0,0,7
37,California State University: Chico,CA,BUTTE,CA0049700,0,0,0,0,0,2,9,0,0,11
38,Highway Patrol: Butte County,CA,BUTTE,CA0049900,8,0,1,1,0,0,4,0,0,14
39,Calaveras County Sheriff's Office,CA,CALAVERAS,CA0050000,114,12,0,0,4,5,110,0,0,245
40,City of Angels Police Department,CA,CALAVERAS,CA0050100,9,3,0,0,0,0,13,0,0,25
41,Union Pacific Railroad: Calaveras County,CA,CALAVERAS,CA0050200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
42,Department of Parks and Recreation: Calaveras County,CA,CALAVERAS,CA0050300,0,0,0,0,0,0,0,0,0,0
43,Highway Patrol: Calaveras County,CA,CALAVERAS,CA0059900,1,0,1,0,0,0,1,0,0,3
44,Colusa County Sheriff's Office,CA,COLUSA,CA0060000,23,1,0,0,0,1,37,0,0,62
45,Colusa Police Department,CA,COLUSA,CA0060100,15,1,0,0,0,0,30,0,0,46
46,Williams Police Department,CA,COLUSA,CA0060200,15,2,0,0,1,1,15,0,0,34
47,Union Pacific Railroad: Colusa County,CA,COLUSA,CA0060300,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
48,Highway Patrol: Colusa County,CA,COLUSA,CA0069900,2,0,1,0,0,0,2,0,0,5
49,Contra Costa County Sheriff's Office,CA,CONTRA COSTA,CA0070000,437,62,4,61,23,104,409,0,0,1100
50,Antioch Police Department,CA,CONTRA COSTA,CA0070100,247,46,1,25,10,102,399,0,0,830
51,Brentwood Police Department,CA,CONTRA COSTA,CA0070200,47,4,0,0,3,26,173,0,0,253
52,Clayton Police Department,CA,CONTRA COSTA,CA0070300,0,0,0,0,0,0,4,0,0,4
53,Concord Police Department,CA,CONTRA COSTA,CA0070400,210,29,0,3,5,66,274,0,0,587
54,El Cerrito Police Department,CA,CONTRA COSTA,CA0070500,25,4,0,1,1,15,40,0,0,86
55,Hercules Police Department,CA,CONTRA COSTA,CA0070600,26,1,0,0,0,3,18,0,0,48
56,Pinole Police Department,CA,CONTRA COSTA,CA0070700,21,1,0,0,1,4,25,0,0,52
57,Pittsburg Police Department,CA,CONTRA COSTA,CA0070800,228,23,1,5,3,52,266,0,0,578
58,Pleasant Hill Police Department,CA,CONTRA COSTA,CA0070900,28,5,0,1,1,19,78,0,0,132
59,Richmond Police Department,CA,CONTRA COSTA,CA0071000,330,17,0,3,5,67,265,0,0,687
60,San Pablo Police Department,CA,CONTRA COSTA,CA0071100,142,15,0,2,0,57,117,0,0,333
61,Walnut Creek Police Department,CA,CONTRA COSTA,CA0071200,42,11,0,1,2,8,76,0,0,140
62,Kensington Police Department,CA,CONTRA COSTA,CA0071300,1,0,0,0,0,0,1,0,0,2
63,Martinez Police Department,CA,CONTRA COSTA,CA0071400,22,3,0,0,2,8,59,0,0,94
64,Lafayette Police Department,CA,CONTRA COSTA,CA0071500,5,1,0,0,0,1,8,0,0,15
65,Moraga Police Department,CA,CONTRA COSTA,CA0071600,4,0,0,0,0,7,3,0,0,14
66,San Francisco Bay Area Rapid Transit: Contra Costa County,CA,CONTRA COSTA,CA0071800,27,11,0,0,1,12,52,0,0,103
67,Contra Costa Community College,CA,CONTRA COSTA,CA0072100,0,2,0,0,0,0,4,0,0,6
68,Danville Police Department,CA,CONTRA COSTA,CA007230X,15,3,0,0,0,0,21,0,0,39
69,San Ramon Police Department,CA,CONTRA COSTA,CA007240X,35,3,0,0,1,4,65,0,0,108
70,Orinda Police Department,CA,CONTRA COSTA,CA007260X,2,0,0,0,0,0,4,0,0,6
71,Union Pacific Railroad: Contra Costa County,CA,CONTRA COSTA,CA0073300,0,0,0,0,0,0,0,0,0,0
72,Oakley Police Department,CA,CONTRA COSTA,CA007340X,29,7,0,0,1,4,62,0,0,103
73,Highway Patrol: Contra Costa County,CA,CONTRA COSTA,CA0079900,14,2,0,0,0,0,31,0,0,47
74,Del Norte County Sheriff's Office,CA,DEL NORTE,CA0080000,75,5,0,1,1,2,79,0,0,163
75,Crescent City Police Department,CA,DEL NORTE,CA0080100,35,8,0,0,0,6,57,0,0,106
76,Highway Patrol: Del Norte County,CA,DEL NORTE,CA008980X,4,0,0,0,0,0,3,0,0,7
77,El Dorado County Sheriff's Office,CA,EL DORADO,CA0090000,293,18,1,8,5,16,266,0,0,607
78,Placerville Police Department,CA,EL DORADO,CA0090100,39,2,0,0,1,4,37,0,0,83
79,South Lake Tahoe Police Department,CA,EL DORADO,CA0090200,127,12,0,1,3,12,110,0,0,265
80,Union Pacific Railroad: El Dorado County,CA,EL DORADO,CA009030X,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
81,Highway Patrol: El Dorado County,CA,EL DORADO,CA0099900,7,0,1,0,0,0,6,0,0,14
82,Fresno County Sheriff's Office,CA,FRESNO,CA0100000,569,42,0,9,9,48,430,0,0,1107
83,Clovis Police Department,CA,FRESNO,CA0100100,232,24,0,0,9,23,285,0,0,573
84,Coalinga Police Department,CA,FRESNO,CA0100200,22,2,0,0,0,0,37,0,0,61
85,Firebaugh Police Department,CA,FRESNO,CA0100300,19,3,0,0,1,2,12,0,0,37
86,Fowler Police Department,CA,FRESNO,CA0100400,19,2,0,0,1,2,19,0,0,43
87,Fresno Police Department,CA,FRESNO,CA0100500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
88,Huron Police Department,CA,FRESNO,CA0100600,36,9,0,0,0,8,55,0,0,108
89,Kerman Police Department,CA,FRESNO,CA0100700,35,1,0,0,1,2,34,0,0,73
90,Kingsburg Police Department,CA,FRESNO,CA0100800,32,1,0,0,0,2,18,0,0,53
91,Mendota Police Department,CA,FRESNO,CA0100900,59,4,0,0,1,5,33,0,0,102
92,Orange Cove Police Department,CA,FRESNO,CA0101000,35,4,0,0,1,3,20,0,0,63
93,Parlier Police Department,CA,FRESNO,CA0101100,52,5,0,0,0,6,63,0,0,126
94,Reedley Police Department,CA,FRESNO,CA0101200,87,10,0,0,1,8,92,0,0,198
